70
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(0=18],1,0,0
(18=40],1,1,0
(18=40],1,1,0
(18=40],1,1,0
(18=40],1,1,0
(18=40],1,1,0
(18=40],2,1,1
(18=40],2,1,1
(18=40],2,1,1
(18=40],2,1,0
(18=40],2,1,0
(18=40],2,1,1
(18=40],2,1,1
(18=40],2,2,1
(18=40],3,2,1
(18=40],3,2,1
(18=40],3,2,1
(40=80],2,1,1
(40=80],2,1,1
(40=80],2,1,1
(40=80],2,1,1
(40=80],2,1,1
(40=80],2,1,1
(40=80],2,1,1
(40=80],2,1,1
(40=80],2,1,1
(40=80],1,1,1
(40=80],1,1,1
(40=80],1,1,1
(40=80],1,1,1
(40=80],3,2,1
(40=80],3,2,1
(40=80],3,2,1
